Buyer_Country,Inquiry_Text,Category
Pakistan,"Hello, I run an interior decor shop and looking for Indian handicraft items — specifically marble inlay items. Need unique designs, not the generic stuff. Can you share your latest catalogue with wholesale prices?",Handicrafts
Israel,"Hello sir, we are new importer trying to establish spice import business. Can you guide us on process and also quote for coriander powder — starting small with 200 kgs to understand market.",Spices
Philippines,"Dear manufacturer, our customer needs LED lights that meets EU quality standards. Can you confirm compliance? We will need test reports. Quantity required is 1000 units per month.",Auto Parts
Spain,"Looking for reliable Indian supplier for clutch plates. We order quarterly, about 10000 pcs each time. Need accurate lead time — last supplier kept delaying and it hurt our business.",Auto Parts
Japan,I am a buyer for a European e-commerce retailer. We want to source Fair Trade certified papier mache items. Is your company fair trade certified? Also need details on packaging.,Handicrafts
Brazil,"Hello, we are auto parts distributor and need clutch plates compatible with Volkswagen models. Please share part numbers and send technical specifications. Need 800 units for first order.",Auto Parts
Nigeria,"We supply home decor to specialty stores across our country. Interested in stone carvings from Rajasthan or Gujarat region. Need 3000 pieces assorted, good packing for export.",Handicrafts
United States,"Hello sir, we are new importer trying to establish spice import business. Can you guide us on process and also quote for turmeric powder — starting small with 300 kgs to understand market.",Spices
Singapore,"Looking to switch our fenugreek seeds supplier from current one due to quality inconsistency. If you can guarantee same quality batch to batch, we can give you our full annual volume of 250 MT.",Spices
Chile,"Hello, we are auto parts distributor and need alternators compatible with Hyundai models. Please share part numbers and send technical specifications. Need 5000 units for first order.",Auto Parts
Brazil,"Dear manufacturer, our customer needs brake pads that meets EU quality standards. Can you confirm compliance? We will need test reports. Quantity required is 1000 units per month.",Auto Parts
Chile,"Hi, I am purchasing for a restaurant chain. We need authentic Indian coriander powder — not the diluted quality. Please share origin details and moisture content specs. Trial order 100 kgs.",Spices
Mexico,"Hello, we import spices for food industry. Need 1500 kgs of garam masala — should be steam sterilized and free from salmonella. Please send COA and FSSAI/APEDA registration copy.",Spices
Saudi Arabia,"Hello, our company buys non-basmati rice for food processing industry. Annual volume around 800 tons. Need grade A quality with proper phytosanitary certificate. Are you direct farmer or aggregator?",Agriculture
Argentina,We are a trading company handling cumin seeds imports. Need competitive price for 100 MT consignment. L/C at sight payment acceptable. Please send proforma invoice format.,Agriculture
Qatar,I am a buyer for a European specialty retailer. We want to source Fair Trade certified papier mache items. Is your company fair trade certified? Also need details on packaging.,Handicrafts
South Africa,We import auto spare parts for African market. Looking for suspension parts from Indian manufacturers. Price competitiveness is key. Please send your product range and FOB prices.,Auto Parts
Singapore,"Dear Indian spice exporter, our supermarket chain wants to launch Indian spice range. Need cardamom in consumer packs of 50g and 100g with our private label. Minimum 1000 units per SKU.",Spices
Nepal,"Looking for reliable Indian supplier for timing belts. We order quarterly, about 3000 pcs each time. Need accurate lead time — last supplier kept delaying and it hurt our business.",Auto Parts
Kenya,Looking for supplier of modal denim fabric — we have been buying from China but want to shift to India. Can you match competitive pricing? Our annual requirement is around 250 units.,Textiles
Colombia,We import auto spare parts for African market. Looking for LED lights from Indian manufacturers. Price competitiveness is key. Please send your product range and FOB prices.,Auto Parts
Oman,"Looking for reliable Indian supplier for timing belts. We order quarterly, about 10000 pcs each time. Need accurate lead time — last supplier kept delaying and it hurt our business.",Auto Parts
Pakistan,Our food manufacturing unit requires black pepper as raw material. We do own lab testing. Need ASTA grade with full traceability documentation. Can you supply 800 kgs per month?,Spices
Singapore,Our retail brand is launching an Indian origin onion product line. We need traceable sourcing with farm details if possible. Small first order of 5000 kgs to test quality.,Agriculture
Germany,We want to launch Indian handicraft category in our marketplace. Need block printed textiles in various price points. Can you be drop-shipping partner or do you only do bulk? Tell me your model.,Handicrafts
Sweden,We are a trading company handling groundnuts imports. Need competitive price for 500 MT consignment. L/C at sight payment acceptable. Please send proforma invoice format.,Agriculture
Qatar,"Looking to switch our fenugreek seeds supplier from current one due to quality inconsistency. If you can guarantee same quality batch to batch, we can give you our full annual volume of 1000 MT.",Spices
Australia,"Hello sir, we are new importer trying to establish spice import business. Can you guide us on process and also quote for coriander powder — starting small with 500 kgs to understand market.",Spices
New Zealand,"Hello, our company buys cumin seeds for food processing industry. Annual volume around 800 tons. Need grade A quality with proper phytosanitary certificate. Are you direct farmer or aggregator?",Agriculture
Poland,Our food manufacturing unit requires red chilli powder as raw material. We do own lab testing. Need ASTA grade with full traceability documentation. Can you supply 50 kgs per month?,Spices
Poland,Our food manufacturing unit requires fenugreek seeds as raw material. We do own lab testing. Need ASTA grade with full traceability documentation. Can you supply 10000 kgs per month?,Spices
Oman,"Dear sir/madam, our company imports cotton tablecloths in bulk for retail distribution. We need 50 pieces per shipment, dyed colors preferred. Can you send catalogue and best FOB price?",Textiles
Indonesia,Urgent requirement for silk fabric rolls for our garment factory. Need consistent quality batch to batch. MOQ acceptable upto 3000 meters. Share TNA and payment terms.,Textiles
Chile,I represent a chain of departmental stores. We are interested in ethnic Indian bed sheets for our festive season collection. Need 100 assorted pieces with good packaging.,Textiles
United Kingdom,We distribute t-shirts in our local market and need a reliable Indian exporter. Quality control is very important for us. Please send samples first before we discuss bulk order of 200 pcs.,Textiles
Spain,I am a buyer for a European wholesale retailer. We want to source Fair Trade certified terracotta pottery. Is your company fair trade certified? Also need details on packaging.,Handicrafts
Kuwait,We import auto spare parts for African market. Looking for engine gaskets from Indian manufacturers. Price competitiveness is key. Please send your product range and FOB prices.,Auto Parts
South Korea,Urgent requirement for jute fabric rolls for our garment factory. Need consistent quality batch to batch. MOQ acceptable upto 800 meters. Share TNA and payment terms.,Textiles
Philippines,"Dear team, we have urgent requirement for 800 MT of chilli peppers. Our previous supplier failed to deliver on time so looking for new reliable partner. Can you ship within 3 weeks?",Agriculture
Nigeria,Our company distributes aftermarket spare parts. We need brake pads with 12 month warranty. What is your rejection rate? Also need to know if you have QC documentation.,Auto Parts
Egypt,"Dear exporter, I am looking for authentic Indian brass figurines for my online store. Customers want handmade products with story behind them. Can you provide artisan details and provenance info?",Handicrafts
Sri Lanka,"Hi there, we need block printed textiles for a hotel chain project. Around 50 pieces needed, delivery in 8 weeks. Please confirm lead time and whether customization of design/color is possible.",Handicrafts
Morocco,We want to launch Indian handicraft category in our marketplace. Need embroidered cushion covers in various price points. Can you be drop-shipping partner or do you only do bulk? Tell me your model.,Handicrafts
Singapore,"Dear manufacturer, our customer needs radiators that meets EU quality standards. Can you confirm compliance? We will need test reports. Quantity required is 1000 units per month.",Auto Parts
Sweden,"Looking to switch our cardamom supplier from current one due to quality inconsistency. If you can guarantee same quality batch to batch, we can give you our full annual volume of 250 MT.",Spices
Morocco,"Hello, I run an interior decor shop and looking for Indian handicraft items — specifically block printed textiles. Need unique designs, not the generic stuff. Can you share your latest catalogue with wholesale prices?",Handicrafts
Kenya,"Hi, we are a garment wholesaler based in Nairobi and looking to source 200 meters of organic cotton fabric. Need export quality with OEKO-TEX certification if possible. Pls share price list and MOQ details.",Textiles
Spain,"Dear team, we have urgent requirement for 250 MT of cumin seeds. Our previous supplier failed to deliver on time so looking for new reliable partner. Can you ship within 3 weeks?",Agriculture
Peru,"Hello, our company buys chilli peppers for food processing industry. Annual volume around 50 tons. Need grade A quality with proper phytosanitary certificate. Are you direct farmer or aggregator?",Agriculture
Germany,We want to launch Indian handicraft category in our marketplace. Need wooden furniture in various price points. Can you be drop-shipping partner or do you only do bulk? Tell me your model.,Handicrafts
Philippines,"Dear exporter, I am looking for authentic Indian brass figurines for my online store. Customers want handmade products with story behind them. Can you provide artisan details and provenance info?",Handicrafts
Brazil,I am a buyer for a European wholesale retailer. We want to source Fair Trade certified terracotta pottery. Is your company fair trade certified? Also need details on packaging.,Handicrafts
Netherlands,"Looking to switch our mustard seeds supplier from current one due to quality inconsistency. If you can guarantee same quality batch to batch, we can give you our full annual volume of 1500 MT.",Spices
Kenya,We need mango pulp for our manufacturing unit. The product should be free from pesticide residue — we do strict lab testing at our end. Please share your quality certifications and last 3 shipment test reports.,Agriculture
Brazil,"We supply home decor to retail stores across our country. Interested in marble inlay items from Rajasthan or Gujarat region. Need 800 pieces assorted, good packing for export.",Handicrafts
Pakistan,Our retail brand is launching an Indian origin cashew kernels product line. We need traceable sourcing with farm details if possible. Small first order of 3000 kgs to test quality.,Agriculture
Belgium,Urgent requirement for cotton fabric rolls for our garment factory. Need consistent quality batch to batch. MOQ acceptable upto 200 meters. Share TNA and payment terms.,Textiles
Oman,I represent a chain of e-commerce stores. We are interested in ethnic Indian sarees for our festive season collection. Need 50 assorted pieces with good packaging.,Textiles
Peru,I am a buyer for a European e-commerce retailer. We want to source Fair Trade certified dhokra art pieces. Is your company fair trade certified? Also need details on packaging.,Handicrafts
Australia,We are a trading company handling dried ginger imports. Need competitive price for 500 MT consignment. L/C at sight payment acceptable. Please send proforma invoice format.,Agriculture
Thailand,Our gift company imports handicrafts from various countries. Indian brass figurines is in demand here. Please share price list for 50 pcs MOQ. We need consistent supply every quarter.,Handicrafts
Chile,Our company distributes aftermarket spare parts. We need suspension parts with 12 month warranty. What is your rejection rate? Also need to know if you have QC documentation.,Auto Parts
Canada,"We are an importer of agricultural commodities and need 500 MT of cumin seeds from India. Please confirm crop year, moisture content and send COA. CIF Felixstowe pricing needed.",Agriculture
Canada,"Hello, I am purchasing manager at wholesale company in Amsterdam. We require hosiery made from organic cotton. Please confirm if you are manufacturer or trader? Also need OEKO-TEX cert.",Textiles
Egypt,I am a buyer for a European boutique retailer. We want to source Fair Trade certified marble inlay items. Is your company fair trade certified? Also need details on packaging.,Handicrafts
New Zealand,I represent a chain of departmental stores. We are interested in ethnic Indian denim fabric for our festive season collection. Need 300 assorted pieces with good packaging.,Textiles
Germany,Our gift company imports handicrafts from various countries. Indian papier mache items is in demand here. Please share price list for 800 pcs MOQ. We need consistent supply every quarter.,Handicrafts
South Africa,"We supply home decor to departmental stores across our country. Interested in stone carvings from Rajasthan or Gujarat region. Need 50 pieces assorted, good packing for export.",Handicrafts
Argentina,"Hello, I run an interior decor shop and looking for Indian handicraft items — specifically block printed textiles. Need unique designs, not the generic stuff. Can you share your latest catalogue with wholesale prices?",Handicrafts
Kenya,"Hello, our company buys non-basmati rice for food processing industry. Annual volume around 800 tons. Need grade A quality with proper phytosanitary certificate. Are you direct farmer or aggregator?",Agriculture
Colombia,"We are an importer of agricultural commodities and need 500 MT of turmeric from India. Please confirm crop year, moisture content and send COA. CIF Hamburg pricing needed.",Agriculture
Netherlands,"Hi, I am purchasing for a restaurant chain. We need authentic Indian mustard seeds — not the diluted quality. Please share origin details and moisture content specs. Trial order 1000 kgs.",Spices
Malaysia,"Hi, I am purchasing for a restaurant chain. We need authentic Indian black pepper — not the diluted quality. Please share origin details and moisture content specs. Trial order 5000 kgs.",Spices
Nepal,"We are an importer of agricultural commodities and need 200 MT of groundnuts from India. Please confirm crop year, moisture content and send COA. CIF Hamburg pricing needed.",Agriculture
Oman,"Dear exporter, I am looking for authentic Indian brass figurines for my online store. Customers want handmade products with story behind them. Can you provide artisan details and provenance info?",Handicrafts
Colombia,"We want to buy cotton scarves and stoles for our boutique chain. Quality should be good, no compromise on that. Let me know if you can do private labeling as well. Approx 10000 pcs initial order.",Textiles
South Africa,"Looking to switch our coriander powder supplier from current one due to quality inconsistency. If you can guarantee same quality batch to batch, we can give you our full annual volume of 500 MT.",Spices
Nigeria,"We want to buy polyester blended scarves and stoles for our boutique chain. Quality should be good, no compromise on that. Let me know if you can do private labeling as well. Approx 1500 pcs initial order.",Textiles
Canada,I represent a chain of departmental stores. We are interested in ethnic Indian knitwear for our festive season collection. Need 3000 assorted pieces with good packaging.,Textiles
Qatar,We are a spice blending company and require mustard seeds in ground form. Consistent color and aroma is very important for our product. MOQ 800 kgs. Can you share samples first?,Spices
Indonesia,"Hello, we import spices for food industry. Need 100 kgs of mustard seeds — should be steam sterilized and free from salmonella. Please send COA and FSSAI/APEDA registration copy.",Spices
Mexico,"Hello, we are auto parts distributor and need LED lights compatible with Tata models. Please share part numbers and send technical specifications. Need 500 units for first order.",Auto Parts
Bangladesh,I represent a chain of retail stores. We are interested in ethnic Indian knitwear for our festive season collection. Need 1000 assorted pieces with good packaging.,Textiles
Turkey,"Dear Indian spice exporter, our supermarket chain wants to launch Indian spice range. Need coriander powder in consumer packs of 50g and 100g with our private label. Minimum 1000 units per SKU.",Spices
Kenya,"Looking to switch our star anise supplier from current one due to quality inconsistency. If you can guarantee same quality batch to batch, we can give you our full annual volume of 300 MT.",Spices
Kuwait,We want to launch Indian handicraft category in our marketplace. Need stone carvings in various price points. Can you be drop-shipping partner or do you only do bulk? Tell me your model.,Handicrafts
Hong Kong,"Dear sir, our workshop chain requires clutch plates in bulk. Quality must meet OEM standards. Can you supply with proper certification? Monthly requirement approx 3000 pieces.",Auto Parts
Argentina,"Hi, I am purchasing for a restaurant chain. We need authentic Indian fenugreek seeds — not the diluted quality. Please share origin details and moisture content specs. Trial order 300 kgs.",Spices
Indonesia,"Looking for reliable Indian supplier for suspension parts. We order quarterly, about 800 pcs each time. Need accurate lead time — last supplier kept delaying and it hurt our business.",Auto Parts
New Zealand,We distribute dress material in our local market and need a reliable Indian exporter. Quality control is very important for us. Please send samples first before we discuss bulk order of 10000 pcs.,Textiles
Colombia,Looking for Indian handicraft exporter for papier mache items. We have seen many products at trade fair but could not find right partner. Our requirement is 2000 units for initial trial order.,Handicrafts
UAE,"Dear sir/madam, our company imports cotton kurtas in bulk for retail distribution. We need 300 pieces per shipment, solid colors preferred. Can you send catalogue and best FOB price?",Textiles
Ghana,"Dear exporter, I am looking for authentic Indian stone carvings for my online store. Customers want handmade products with story behind them. Can you provide artisan details and provenance info?",Handicrafts
France,"Looking to switch our red chilli powder supplier from current one due to quality inconsistency. If you can guarantee same quality batch to batch, we can give you our full annual volume of 50 MT.",Spices
New Zealand,I am a buyer for a European e-commerce retailer. We want to source Fair Trade certified wooden furniture. Is your company fair trade certified? Also need details on packaging.,Handicrafts
Brazil,We distribute spices to ethnic grocery stores. Looking for red chilli powder supplier with consistent quality. Our customers are Indian diaspora so they know quality. Please send price for 10000 kgs CIF.,Spices
Vietnam,"Hi, I am purchasing for a restaurant chain. We need authentic Indian fenugreek seeds — not the diluted quality. Please share origin details and moisture content specs. Trial order 2000 kgs.",Spices
Indonesia,We distribute hosiery in our local market and need a reliable Indian exporter. Quality control is very important for us. Please send samples first before we discuss bulk order of 10000 pcs.,Textiles
Canada,Our gift company imports handicrafts from various countries. Indian block printed textiles is in demand here. Please share price list for 3000 pcs MOQ. We need consistent supply every quarter.,Handicrafts
Thailand,"Hello, we import spices for food industry. Need 250 kgs of cardamom — should be steam sterilized and free from salmonella. Please send COA and FSSAI/APEDA registration copy.",Spices
United Kingdom,We need wheat flour for our manufacturing unit. The product should be free from pesticide residue — we do strict lab testing at our end. Please share your quality certifications and last 3 shipment test reports.,Agriculture
Pakistan,Looking for Indian handicraft exporter for wooden furniture. We have seen many products at trade fair but could not find right partner. Our requirement is 10000 units for initial trial order.,Handicrafts
South Korea,Our retail brand is launching an Indian origin groundnuts product line. We need traceable sourcing with farm details if possible. Small first order of 1000 kgs to test quality.,Agriculture
Ghana,"Dear sir/madam, our company imports cotton hosiery in bulk for retail distribution. We need 5000 pieces per shipment, natural colors preferred. Can you send catalogue and best FOB price?",Textiles
New Zealand,"Looking for reliable Indian supplier for filters. We order quarterly, about 2000 pcs each time. Need accurate lead time — last supplier kept delaying and it hurt our business.",Auto Parts
Mexico,"We supply home decor to wholesale stores across our country. Interested in marble inlay items from Rajasthan or Gujarat region. Need 500 pieces assorted, good packing for export.",Handicrafts
Pakistan,"Hello, we import spices for food industry. Need 50 kgs of red chilli powder — should be steam sterilized and free from salmonella. Please send COA and FSSAI/APEDA registration copy.",Spices
Kenya,We are a wholesale auto parts importer. Need fuel pumps urgently for a contract we have won. Can you do 800 units in 4 weeks? Please quote best price with DDP terms.,Auto Parts
Sri Lanka,Our company distributes aftermarket spare parts. We need radiators with 12 month warranty. What is your rejection rate? Also need to know if you have QC documentation.,Auto Parts
Pakistan,We are a spice blending company and require garam masala in ground form. Consistent color and aroma is very important for our product. MOQ 10000 kgs. Can you share samples first?,Spices
Canada,We want to launch Indian handicraft category in our marketplace. Need stone carvings in various price points. Can you be drop-shipping partner or do you only do bulk? Tell me your model.,Handicrafts
Colombia,"Hello, I run an interior decor shop and looking for Indian handicraft items — specifically terracotta pottery. Need unique designs, not the generic stuff. Can you share your latest catalogue with wholesale prices?",Handicrafts
Switzerland,"Hello, we import spices for food industry. Need 500 kgs of cumin seeds — should be steam sterilized and free from salmonella. Please send COA and FSSAI/APEDA registration copy.",Spices
Mexico,Looking to import cumin seeds — we supply to supermarket chains here. Packaging should be 5 kg retail packs and labeled as per Mexico import regulations. Pl confirm if you can arrange.,Agriculture
Turkey,"Hi, we are a garment wholesaler based in Berlin and looking to source 100 meters of organic cotton fabric. Need export quality with Fair Trade certification if possible. Pls share price list and MOQ details.",Textiles
Netherlands,"Hi, I need timing belts for Volkswagen vehicles — we have a large fleet service company. Current supplier has quality issues so looking to switch. Can you send samples before bulk purchase of 1500 units?",Auto Parts
UAE,"Hello, we are auto parts distributor and need brake pads compatible with Mahindra models. Please share part numbers and send technical specifications. Need 300 units for first order.",Auto Parts
UAE,I am a buyer for a European boutique retailer. We want to source Fair Trade certified block printed textiles. Is your company fair trade certified? Also need details on packaging.,Handicrafts
Ethiopia,Our company distributes aftermarket spare parts. We need clutch plates with 12 month warranty. What is your rejection rate? Also need to know if you have QC documentation.,Auto Parts
Switzerland,We distribute bed sheets in our local market and need a reliable Indian exporter. Quality control is very important for us. Please send samples first before we discuss bulk order of 3000 pcs.,Textiles
Taiwan,"Looking for reliable Indian supplier for suspension parts. We order quarterly, about 1000 pcs each time. Need accurate lead time — last supplier kept delaying and it hurt our business.",Auto Parts
Australia,Our retail brand is launching an Indian origin onion product line. We need traceable sourcing with farm details if possible. Small first order of 250 kgs to test quality.,Agriculture
Kuwait,Urgent requirement for modal fabric rolls for our garment factory. Need consistent quality batch to batch. MOQ acceptable upto 100 meters. Share TNA and payment terms.,Textiles
Poland,"Hi, I am looking for Indian groundnuts for export to Poland. Our buyer needs consistent supply throughout the year. What is your capacity per month and what is your price for 3000 tons?",Agriculture
UAE,We are a spice blending company and require mustard seeds in ground form. Consistent color and aroma is very important for our product. MOQ 1500 kgs. Can you share samples first?,Spices
Singapore,Looking for Indian handicraft exporter for marble inlay items. We have seen many products at trade fair but could not find right partner. Our requirement is 100 units for initial trial order.,Handicrafts
South Africa,"We want to buy modal scarves and stoles for our boutique chain. Quality should be good, no compromise on that. Let me know if you can do private labeling as well. Approx 5000 pcs initial order.",Textiles
South Korea,"Dear Indian spice exporter, our supermarket chain wants to launch Indian spice range. Need red chilli powder in consumer packs of 50g and 100g with our private label. Minimum 3000 units per SKU.",Spices
South Korea,"Dear manufacturer, our customer needs fuel pumps that meets EU quality standards. Can you confirm compliance? We will need test reports. Quantity required is 3000 units per month.",Auto Parts
Pakistan,"Hello sir, we are new importer trying to establish spice import business. Can you guide us on process and also quote for star anise — starting small with 50 kgs to understand market.",Spices
Argentina,"Looking to switch our black pepper supplier from current one due to quality inconsistency. If you can guarantee same quality batch to batch, we can give you our full annual volume of 50 MT.",Spices
Italy,"Dear sir, our workshop chain requires LED lights in bulk. Quality must meet OEM standards. Can you supply with proper certification? Monthly requirement approx 800 pieces.",Auto Parts
Chile,"Hi there, we need wooden furniture for a hotel chain project. Around 250 pieces needed, delivery in 8 weeks. Please confirm lead time and whether customization of design/color is possible.",Handicrafts
Spain,We are a spice blending company and require fenugreek seeds in ground form. Consistent color and aroma is very important for our product. MOQ 200 kgs. Can you share samples first?,Spices
Sri Lanka,"Hi, we are a garment wholesaler based in Riyadh and looking to source 200 meters of bamboo fabric. Need export quality with GOTS certification if possible. Pls share price list and MOQ details.",Textiles
Saudi Arabia,Our food manufacturing unit requires star anise as raw material. We do own lab testing. Need ASTA grade with full traceability documentation. Can you supply 800 kgs per month?,Spices
Thailand,I represent a chain of wholesale stores. We are interested in ethnic Indian denim fabric for our festive season collection. Need 50 assorted pieces with good packaging.,Textiles
Turkey,"Hello sir, we are new importer trying to establish spice import business. Can you guide us on process and also quote for coriander powder — starting small with 1500 kgs to understand market.",Spices
France,"Dear sir, our workshop chain requires filters in bulk. Quality must meet OEM standards. Can you supply with proper certification? Monthly requirement approx 3000 pieces.",Auto Parts
Ethiopia,"We want to buy cotton scarves and stoles for our boutique chain. Quality should be good, no compromise on that. Let me know if you can do private labeling as well. Approx 5000 pcs initial order.",Textiles
Ethiopia,"Dear manufacturer, our customer needs timing belts that meets EU quality standards. Can you confirm compliance? We will need test reports. Quantity required is 1500 units per month.",Auto Parts
Taiwan,"Hi, I am looking for Indian cumin seeds for export to Taiwan. Our buyer needs consistent supply throughout the year. What is your capacity per month and what is your price for 10000 tons?",Agriculture
Sweden,"Looking for reliable Indian supplier for fuel pumps. We order quarterly, about 50 pcs each time. Need accurate lead time — last supplier kept delaying and it hurt our business.",Auto Parts
France,"We supply home decor to retail stores across our country. Interested in stone carvings from Rajasthan or Gujarat region. Need 10000 pieces assorted, good packing for export.",Handicrafts
Peru,Our company distributes aftermarket spare parts. We need alternators with 12 month warranty. What is your rejection rate? Also need to know if you have QC documentation.,Auto Parts
Tanzania,"Dear Indian spice exporter, our supermarket chain wants to launch Indian spice range. Need red chilli powder in consumer packs of 50g and 100g with our private label. Minimum 10000 units per SKU.",Spices
Philippines,"Hi, I am looking for Indian chilli peppers for export to Philippines. Our buyer needs consistent supply throughout the year. What is your capacity per month and what is your price for 200 tons?",Agriculture
Morocco,We import auto spare parts for African market. Looking for fuel pumps from Indian manufacturers. Price competitiveness is key. Please send your product range and FOB prices.,Auto Parts
Ethiopia,Looking for supplier of khadi dress material — we have been buying from China but want to shift to India. Can you match competitive pricing? Our annual requirement is around 50 units.,Textiles
Poland,"Hello, our company buys chilli peppers for food processing industry. Annual volume around 50 tons. Need grade A quality with proper phytosanitary certificate. Are you direct farmer or aggregator?",Agriculture
Bangladesh,"Looking to switch our black pepper supplier from current one due to quality inconsistency. If you can guarantee same quality batch to batch, we can give you our full annual volume of 500 MT.",Spices
Mexico,"Dear team, we have urgent requirement for 10000 MT of mango pulp. Our previous supplier failed to deliver on time so looking for new reliable partner. Can you ship within 3 weeks?",Agriculture
Singapore,Looking to import groundnuts — we supply to supermarket chains here. Packaging should be 25 kg bags and labeled as per Singapore import regulations. Pl confirm if you can arrange.,Agriculture
Brazil,"Hi, we are a garment wholesaler based in Berlin and looking to source 3000 meters of bamboo fabric. Need export quality with ISO certification if possible. Pls share price list and MOQ details.",Textiles
Hong Kong,We import auto spare parts for African market. Looking for engine gaskets from Indian manufacturers. Price competitiveness is key. Please send your product range and FOB prices.,Auto Parts
South Korea,"Dear Indian spice exporter, our supermarket chain wants to launch Indian spice range. Need fenugreek seeds in consumer packs of 50g and 100g with our private label. Minimum 100 units per SKU.",Spices
Germany,"Looking for reliable Indian supplier for radiators. We order quarterly, about 50 pcs each time. Need accurate lead time — last supplier kept delaying and it hurt our business.",Auto Parts
Sri Lanka,We distribute spices to ethnic grocery stores. Looking for fenugreek seeds supplier with consistent quality. Our customers are Indian diaspora so they know quality. Please send price for 3000 kgs CIF.,Spices
Indonesia,"Hi, I am purchasing for a restaurant chain. We need authentic Indian fenugreek seeds — not the diluted quality. Please share origin details and moisture content specs. Trial order 200 kgs.",Spices
Singapore,We want to launch Indian handicraft category in our marketplace. Need papier mache items in various price points. Can you be drop-shipping partner or do you only do bulk? Tell me your model.,Handicrafts
Nepal,I am a buyer for a European boutique retailer. We want to source Fair Trade certified stone carvings. Is your company fair trade certified? Also need details on packaging.,Handicrafts
New Zealand,"Dear team, we have urgent requirement for 3000 MT of dried ginger. Our previous supplier failed to deliver on time so looking for new reliable partner. Can you ship within 3 weeks?",Agriculture
Netherlands,"Hello, I run an interior decor shop and looking for Indian handicraft items — specifically papier mache items. Need unique designs, not the generic stuff. Can you share your latest catalogue with wholesale prices?",Handicrafts
Belgium,We are a spice blending company and require mustard seeds in ground form. Consistent color and aroma is very important for our product. MOQ 100 kgs. Can you share samples first?,Spices
Canada,"We supply home decor to wholesale stores across our country. Interested in embroidered cushion covers from Rajasthan or Gujarat region. Need 3000 pieces assorted, good packing for export.",Handicrafts
Sri Lanka,"Dear Indian spice exporter, our supermarket chain wants to launch Indian spice range. Need red chilli powder in consumer packs of 50g and 100g with our private label. Minimum 300 units per SKU.",Spices
Indonesia,"Looking for reliable Indian supplier for suspension parts. We order quarterly, about 500 pcs each time. Need accurate lead time — last supplier kept delaying and it hurt our business.",Auto Parts
France,"Looking for reliable Indian supplier for suspension parts. We order quarterly, about 5000 pcs each time. Need accurate lead time — last supplier kept delaying and it hurt our business.",Auto Parts
Saudi Arabia,Our gift company imports handicrafts from various countries. Indian dhokra art pieces is in demand here. Please share price list for 500 pcs MOQ. We need consistent supply every quarter.,Handicrafts
Australia,"Dear exporter, I am looking for authentic Indian marble inlay items for my online store. Customers want handmade products with story behind them. Can you provide artisan details and provenance info?",Handicrafts
Germany,We want to launch Indian handicraft category in our marketplace. Need marble inlay items in various price points. Can you be drop-shipping partner or do you only do bulk? Tell me your model.,Handicrafts
Pakistan,"Dear manufacturer, our customer needs brake pads that meets EU quality standards. Can you confirm compliance? We will need test reports. Quantity required is 250 units per month.",Auto Parts
Saudi Arabia,Looking for supplier of jute bed sheets — we have been buying from China but want to shift to India. Can you match competitive pricing? Our annual requirement is around 1500 units.,Textiles
Tanzania,Our food manufacturing unit requires cardamom as raw material. We do own lab testing. Need ASTA grade with full traceability documentation. Can you supply 1000 kgs per month?,Spices
South Africa,"We supply home decor to wholesale stores across our country. Interested in block printed textiles from Rajasthan or Gujarat region. Need 500 pieces assorted, good packing for export.",Handicrafts
Chile,"Hello sir, we are new importer trying to establish spice import business. Can you guide us on process and also quote for red chilli powder — starting small with 1000 kgs to understand market.",Spices
Jordan,"Hello, we import spices for food industry. Need 50 kgs of mustard seeds — should be steam sterilized and free from salmonella. Please send COA and FSSAI/APEDA registration copy.",Spices
Vietnam,Looking to import cumin seeds — we supply to supermarket chains here. Packaging should be bulk containers and labeled as per Vietnam import regulations. Pl confirm if you can arrange.,Agriculture
United States,"Looking to switch our star anise supplier from current one due to quality inconsistency. If you can guarantee same quality batch to batch, we can give you our full annual volume of 5000 MT.",Spices
New Zealand,"Hello, our company buys turmeric for food processing industry. Annual volume around 1500 tons. Need grade A quality with proper phytosanitary certificate. Are you direct farmer or aggregator?",Agriculture
UAE,"Hello, we import spices for food industry. Need 300 kgs of fenugreek seeds — should be steam sterilized and free from salmonella. Please send COA and FSSAI/APEDA registration copy.",Spices
Germany,"Looking for reliable Indian supplier for brake pads. We order quarterly, about 200 pcs each time. Need accurate lead time — last supplier kept delaying and it hurt our business.",Auto Parts
Spain,We distribute tablecloths in our local market and need a reliable Indian exporter. Quality control is very important for us. Please send samples first before we discuss bulk order of 100 pcs.,Textiles
Colombia,We distribute bed sheets in our local market and need a reliable Indian exporter. Quality control is very important for us. Please send samples first before we discuss bulk order of 500 pcs.,Textiles
Spain,"Looking to switch our coriander powder supplier from current one due to quality inconsistency. If you can guarantee same quality batch to batch, we can give you our full annual volume of 50 MT.",Spices
Nepal,"Dear manufacturer, our customer needs engine gaskets that meets EU quality standards. Can you confirm compliance? We will need test reports. Quantity required is 50 units per month.",Auto Parts
Netherlands,I represent a chain of wholesale stores. We are interested in ethnic Indian t-shirts for our festive season collection. Need 200 assorted pieces with good packaging.,Textiles
Germany,"We are an importer of agricultural commodities and need 10000 MT of cumin seeds from India. Please confirm crop year, moisture content and send COA. CIF Los Angeles pricing needed.",Agriculture
Switzerland,"Hello sir, we are new importer trying to establish spice import business. Can you guide us on process and also quote for turmeric powder — starting small with 200 kgs to understand market.",Spices
